,0
253,No topics found
254,No topics found
255,No topics found
256,No topics found
257,No topics found
258,No topics found
259,"[(1, 'derechos, reservados, compañía, autorización, nacional, edición, retransmisión, queda, patrulla, compañero'), (2, '2018, cuerpo, diciembre, publicación, metrópoli, tlalnepantla, tecnológico, muerte, ingeniería, ofrenda'), (3, 'alan, méxico, joven, universal, cualquier, uso, expresamente, contenidos, prohibida, supuestos'), (4, 'policías, autopista, querétaro, pasado, previa, periodística, exigieron, amigo, izcalli, presentaba'), (5, 'ir, fernando, portada, existir, 2000, sección, justicia, instituto, tres, familiares')]"
260,No topics found
261,No topics found
262,No topics found
263,No topics found
264,"[(1, 'días, años, 96, bertha, quiero, auténticos, fiesta, libro, hotel, vive'), (2, 'descuento, piedra, siguen, rosario, disfruta, vida, mexicano, sé, rigor, freire'), (3, 'miguel, jesús, humanidad, aúna, 97, experto, valero, científico, último, cambiado'), (4, 'ibarra, espero, ángel, colección, original, descubre, solo, recorrido, antiguos, exclusiva'), (5, 'historia, madre, desaparición, países, divulgativo, 690, película, 13, luis, casa')]"
265,No topics found
266,No topics found
267,No topics found
268,"[(1, 'robo, cuales, capitalina, policía, méxico, calles, quinceañera, notimex, pide, golpea'), (2, 'fotos, 2014, transeúntes, motociclista, cinco, mexicanas, adolescente, amanda, hospital, alizée'), (3, 'inmediato, cruz, encontró, fu, avión, jvc, filminlatino, interior, saborean, toma'), (4, 'años, dinero, detenido, ciudad, cruce, 2017, mujeres, así, ratifican, saldívar'), (5, 'implicado, hechos, ciudadana, policías, solicitaron, apoyo, 36, información, hombre, detuvieron')]"
269,"[(1, 'sobredosis, video, televisa, 2011, fentanilo, xataka, latinoamérica, nuevas, extraño, casa'), (2, 'netflix, 2018, muertes, series, prime, dólares, producciones, colosio, drogas, mexico'), (3, '2016, luis, martínez, sánchez, dos, in, youtube, candidato, así, asesinato'), (4, 'méxico, droga, información, millones, drama, flores, cuervos, acuerdo, futbolista, estreno'), (5, 'año, streaming, comedia, ver, jornada, producción, hacer, mil, chapo, futbol')]"
270,No topics found
271,No topics found
272,No topics found
273,No topics found
274,No topics found
275,"[(1, 'lado, aroche, puebla, ciudad, acuerdo, año, ayala, sitio, animal, nueva'), (2, 'méxico, periodistas, pues, jornada, dijo, moreno, mercados, medidas, género, cacho'), (3, 'periodismo, medio, mujeres, personas, temas, política, dinero, situación, caso, avg'), (4, 'hernández, violencia, gobierno, insticator, político, mundo, parte, ser, trabajo, si'), (5, 'medios, años, hacer, organizaciones, derechos, historia, ad, dos, así, público')]"
276,No topics found
277,No topics found
278,No topics found
279,"[(1, 'presidente, gobernador, descuento, mercados, fiscal, gallegos, ramírez, personas, ir, autoridades'), (2, 'morelos, lópez, nacional, medios, parte, comerciantes, 2018, luis, ciudad, aviso'), (3, 'derechos, así, general, mensaje, ibarra, capital, piedra, reservados, calle, político'), (4, 'jornada, años, méxico, obrador, investigación, mujeres, señor, libertad, grupos, delitos'), (5, 'seguridad, días, radio, gobierno, miranda, justicia, historia, guerrero, quiero, proceso')]"
280,No topics found
281,"[(1, 'actions, patinetes, children, alquiler, movilidad, ayuntamiento, personal, así, ayer, euros'), (2, 'uso, vehículos, años, zaragoza, madrid, días, sólo, circulación, comentarios, bici'), (3, 'comunidad, según, circular, pretende, normativa, tres, cómo, si, mute, cabrea'), (4, 'comment, hora, empresas, kilómetros, permite, parte, 20, trump, hace, año'), (5, 'hoy, mientras, ciudad, ser, además, aunque, parto, 15, obstante, aceras')]"
282,No topics found
283,No topics found
284,No topics found
285,No topics found
286,No topics found
287,"[(1, 'explosión, así, hechos, pólvora, polvorín, saborean, rojo, azul, gusta, amanda'), (2, 'fotos, años, siniestro, provocado, cierre, adolescente, maestra, interior, tlatelolco, viaje'), (3, 'sitio, 50, mezquital, artificiales, barril, secu, elise, filminlatino, mexicanas, unam'), (4, 'anaya, elaboración, fuegos, sido, comunidad, receta, calle, sexual, remedios, venta'), (5, 'santiago, localidad, servicios, emergencia, copian, quinceañera, roba, tarjeta, tips, revela')]"
288,No topics found
289,"[(1, 'goles, azul, 180, ser, insticator, además, proceso, seguridad, ciudad, cuitláhuac'), (2, 'arturo, veracruz, garcía, después, desaparecidos, exdirector, desaparición, primera, alvarado, hace'), (3, 'título, minutos, valor, tampoco, visitante, justicia, duarte, si, pesos, ad'), (4, 'cruz, convierta, anfitrión, criterio, méxico, ambos, javier, pasado, exsecretario, familiares'), (5, 'efe, desempate, bermúdez, gobierno, américa, pues, prisión, final, años, caso')]"
290,No topics found
291,No topics found
292,No topics found
293,No topics found
294,No topics found
295,No topics found
296,No topics found
297,No topics found
298,No topics found
299,No topics found
300,No topics found
301,No topics found
302,No topics found
303,No topics found
304,No topics found
305,No topics found
306,"[(1, 'garibaldi, 2000, autorización, periodística, expresamente, reservados, 2018, nacional, retransmisión, derechos'), (2, 'previa, edición, compañía, publicación, cualquier, uso, ruedas, pasado, jhonatan, quedó'), (3, 'universal, existir, daniel, silla, familiares, haber, ataque, hombre, masacre, cuyo'), (4, 'prohibida, plaza, septiembre, ismael, calle, tres, años, carranza, alcaldía, llegaron'), (5, 'portada, queda, contenidos, cuatro, después, seis, ocasiones, dos, domicilio, venustiano')]"
307,"[(1, 'méxico, municipios, claridad, ismael, aspirante, presidencial, div, federal, municipio, frente'), (2, 'insticator, sistema, toro, zona, cámaras, tener, loadad, hacer, nueve, presidentes'), (3, 'ciudad, cómo, problema, responsabilidad, jorge, octubre, homicidios, ahí, petrolero, 2000'), (4, 'ad, c5, guadalajara, vigilancia, delitos, primera, público, municipal, coordinación, fecha'), (5, 'pues, municipales, vamos, metropolitana, información, enrique, ser, proceso, dolosos, confianza')]"
308,No topics found
309,No topics found
310,No topics found
311,"[(1, 'mañanitas, familia, cuautitlán, justicia, detenido, encontrado, embargo, instituto, carretera, 38'), (2, 'basílica, reservados, alan, exigieron, amigo, ofrenda, especial, patrulla, interesarte, abraham'), (3, 'colectiva, cultura, virgen, policías, autopista, público, horas, querétaro, nunca, vida'), (4, 'derechos, fernando, joven, izcalli, pasado, diciembre, tecnológico, puso, montoya, esclarecer'), (5, 'cantan, 2018, cuerpo, estudiantes, familiares, lunes, compañero, varios, montaron, sido')]"
312,"[(1, 'guzmán, díaz, federal, sierra, dio, presidencial, etapa, información, div, público'), (2, 'insticator, capo, narcotraficante, joaquín, testigo, gobierno, encuentro, mexicana, alianza, valle'), (3, 'chapo, ciudad, corte, colombiano, unidos, finales, loadad, presuntamente, 2015, aterrizaje'), (4, 'pista, nueva, york, ad, culiacán, brooklyn, grande, licenciado, colombia, película'), (5, 'méxico, cocaína, cifuentes, video, aspirante, 30, 2002, mayo, primera, mexicano')]"
313,No topics found
314,No topics found
315,No topics found
316,No topics found
317,No topics found
318,No topics found
319,"[(1, 'bermúdez, gobierno, veracruz, así, proceso, javier, si, legal, liberación, teléfono'), (2, 'justicia, ad, ser, exdirector, ahora, desaparición, prensa, incumplimiento, duartistas, juzgado'), (3, 'insticator, garcía, pesos, libertad, exsecretario, pública, aspirante, nuevo, ver, gobernador'), (4, 'méxico, duarte, arturo, pues, prisión, desaparecidos, deber, cuitláhuac, días, presidencial'), (5, 'caso, ciudad, seguridad, público, familiares, abuso, además, mexicana, antonio, hizo')]"
320,No topics found
321,No topics found
322,No topics found
323,No topics found
324,No topics found
325,"[(1, 'derechos, petatlán, comunitarios, 1996, 04, página, independent, maya, luis, autor'), (2, 'jornada, radio, 2018, maior, carta, copyright, asociados, 2005, gara, pueden'), (3, 'policías, 12, armados, guardia, dialogar, asesinado, dijo, movimiento, domingo, contacto'), (4, 'guerrero, seguridad, 011817321500, zihuatanejo, torres, aviso, cruz, grupo, secretaría, leían'), (5, 'medios, veracruz, 203, oriente, the, bilingüe, zacatecas, desarrollo, morelos, demos')]"
326,No topics found
327,No topics found
328,No topics found
329,No topics found
330,No topics found
331,"[(1, '2000, col, 5636, miles, delegación, veracruz, camioneta, homicidios, div, gobierno'), (2, 'aspirante, aparece, acarreados, benito, oradores, ponen, explanadas, punto, antorcha, colonia'), (3, 'llenan, 55, auditorios, campesina, ad, zacatecas, lunes, hombres, saltillo, municipio'), (4, 'méxico, ciudad, jornada, presidencial, 03100, 13, valle, fresas, tres, dos'), (5, 'juárez, teléfono, enardecen, insticator, armados, información, proceso, luis, san, vicente')]"
332,No topics found
333,"[(1, 'ciudad, alcaldesa, juárez, tres, investigaciones, aspirante, coahuila, loadad, dijo, investigación'), (2, 'insticator, fiscal, secuestro, relación, familiares, 10, fiscalía, valle, 03100, general'), (3, 'ad, kobel, lara, desaparición, proceso, amigos, felipe, acuerdo, apro, calle'), (4, 'municipio, div, camioneta, guevara, años, puestas, campesina, ponen, benito, petrolero'), (5, 'méxico, márquez, presidencial, público, saltillo, así, momento, violencia, información, esperamos')]"
334,No topics found
335,No topics found
336,No topics found
337,No topics found
338,No topics found
339,No topics found
340,"[(1, 'barcelona, catalana, josep, víctimas, algún, josé, aparición, así, podrá, mejor'), (2, 'catalunya, presidente, ayer, ciudad, frente, periodista, candidato, bajo, ultras, asociación'), (3, 'bou, pp, gusta, cs, colau, española, candidatura, catalexit, supongo, fidalgo'), (4, 'empresario, lista, primera, valls, manuel, dará, cartel, talmente, conforme, deja'), (5, 'españa, sistema, quedado, nadie, escritor, lema, voto, aglutinado, facha, contó')]"
341,No topics found
342,No topics found
343,No topics found
344,No topics found
345,No topics found
346,No topics found
347,"[(1, 'investigación, nacional, periodística, cualquier, universal, queda, metrópoli, expresamente, subprocuraduría, reservados'), (2, 'señor, mensaje, gobernador, gallegos, secuestros, abril, derechos, electo, morelos, través'), (3, 'delincuencia, pasado, ustedes, publicación, previa, portada, obtenida, edición, jojutla, feliz'), (4, 'especializada, obrador, organizada, compañía, 2018, sección, retransmisión, 2000, prohibida, autorización'), (5, 'ir, presidente, lópez, delitos, miranda, materia, seido, base, méxico, libertad')]"
348,"[(1, 'derechos, medios, radio, 2018, 12, carta, presidente, desarrollo, colonia, maior'), (2, 'seguridad, tres, reservados, alcaldía, 011817321500, 1996, gara, independent, bilingüe, delitos'), (3, 'méxico, ciudad, salarios, nacional, 2005, 203, the, gobierno, pasado, mensaje'), (4, 'jornada, demos, nederland, asociados, metrobús, mayor, así, violencia, 2017, ir'), (5, 'mil, general, lópez, cuauhtémoc, página, autor, gobernador, acuerdo, graco, calle')]"
349,No topics found
350,No topics found
351,"[(1, 'méxico, félix, people, policía, tres, gobierno, hijos, presidencial, información, mossos'), (2, 'años, artadi, muertos, pasado, días, corte, van, así, ecuador, 2018'), (3, 'insticator, barcelona, unidos, proceso, señor, govern, ser, año, chapo, guzmán'), (4, 'dos, ciudad, cataluña, corazón, punto, derechos, gente, navideño, vic, quedado'), (5, 'ad, guadalupe, diciembre, república, jornada, diez, parte, hombre, malas, hace')]"
352,No topics found
353,No topics found
354,"[(1, 'años, grupo, según, vía, solo, bien, después, onu, uso, méxico'), (2, 'país, dos, torra, sido, hacer, política, tras, actions, 2018, nacional'), (3, 'gobierno, parte, paz, ser, policía, guerra, cataluña, año, derechos, presidente'), (4, 'si, violencia, armas, medios, hace, vida, mundo, radio, eslovena, prisión'), (5, 'personas, seguridad, bentanachs, muerte, lado, colombia, dijo, fuerzas, hecho, ciudad')]"
355,No topics found
356,No topics found
357,"[(1, 'children, jornada, entristece, cabrea, mute, tras, comunidad, casi, sino, cuatro'), (2, 'beriain, lópez, sl, display, casero, eugenio, gascón, enrique, cristina, derecho'), (3, 'armas, comment, connectors, bayo, dólares, entrega, medio, bien, narcos, parto'), (4, 'actions, garcía, dos, eeuu, unidos, tráfico, millones, vez, comentarios, uso'), (5, 'cartel, carlos, bayona, eduardo, si, dmax, sinaloa, mil, sólo, david')]"
